Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,PX_LAST
10/3/2018,48.62,49.72,48.56,48.1,39211946,48.76
10/2/2018,47.51,48.88,47.32,46.45,42121090,48.1
10/1/2018,46.79,47.22,46.2,47.29,23797630,46.45
9/28/2018,45.62,47.75,45.46,45.88,46223464,47.29
9/27/2018,45.91,46.165,45.73,45.7,15415535,45.88
9/26/2018,46.04,46.3,45.58,45.91,23957663,45.7
9/25/2018,46.22,46.39,45.8,46.91,23389874,45.91
9/24/2018,46.31,47,46.15,46.66,17846994,46.91
9/21/2018,47.12,47.419,46.37,47.2,52650601,46.66
9/20/2018,46.78,47.36,46.52,46.15,21999267,47.2
9/19/2018,46.09,46.44,45.89,46.1,15918914,46.15
9/18/2018,45.58,46.53,45.41,45.42,20528084,46.1
9/17/2018,45.29,45.9,45.19,45.54,17603171,45.42
9/14/2018,45.78,45.965,45.35,45.57,22998666,45.54
9/13/2018,45.68,45.85,45.11,44.93,18657116,45.57
9/12/2018,44.56,44.98,44.06,44.93,29778722,44.93
9/11/2018,46,46.03,44.89,46.3,32455320,44.93
9/10/2018,46.56,46.76,46.23,46.45,21522362,46.3
9/7/2018,46.91,47.48,46.36,47.26,25958345,46.45
9/6/2018,47.76,47.96,47.21,47.72,19318129,47.26
9/5/2018,47.75,48.12,47.47,47.96,20857150,47.72
9/4/2018,48.38,48.4267,47.5601,48.43,15682894,47.96
8/31/2018,47.96,48.56,47.92,48.24,16483981,48.43
8/30/2018,48.52,48.83,48.09,48.75,16418812,48.24
8/29/2018,48.7,48.86,48.4,48.57,13479099,48.75
8/28/2018,48.55,48.79,48.31,48.35,13472427,48.57
8/27/2018,48,48.39,47.63,47.66,17170257,48.35
8/24/2018,47.29,47.89,47.08,46.98,18214708,47.66
8/23/2018,46.86,47.17,46.71,47.05,31343206,46.98
8/22/2018,47.25,47.35,46.92,47.62,23182485,47.05
8/21/2018,46.66,47.85,46.64,46.5,19254336,47.62
8/20/2018,47.05,47.12,46.19,47.1,24334042,46.5
8/17/2018,47,47.39,46.33,47.17,26381992,47.1
8/16/2018,47.75,47.95,47.05,47.46,24358040,47.17
8/15/2018,47.78,48,46.9,48.12,26739870,47.46
8/14/2018,48.67,48.76,47.65,48.45,23061591,48.12
8/13/2018,48.92,49.24,48.38,48.85,17070585,48.45
8/10/2018,48.51,49.17,48.3,50.14,28712389,48.85
8/9/2018,49.86,50.6,49.72,49.96,23795628,50.14
8/8/2018,49.6,50.13,49.44,49.7,21997841,49.96
8/7/2018,49.43,49.83,49.41,49.3,28322714,49.7
8/6/2018,48.77,49.31,48.32,49.63,26669005,49.3
8/3/2018,49.5,49.78,49.1701,49.48,22008160,49.63
8/2/2018,48.5,49.52,48.2,48.81,26452493,49.48
8/1/2018,48.055,48.91,48,48.1,28060679,48.81
7/31/2018,48.24,48.6757,47.69,47.69,36581201,48.1
7/30/2018,47.63,47.99,46.43,47.68,35696572,47.69
7/27/2018,48.76,49.2,47.48,52.16,67816656,47.68
7/26/2018,52.45,53.18,51.87,52.43,28282484,52.16
7/25/2018,52.21,52.45,51.09,52.18,19892991,52.43
7/24/2018,52.76,53.3,52.075,52.31,17788677,52.18
7/23/2018,51.77,52.495,51.33,51.91,15945470,52.31
7/20/2018,51.83,52.07,51.33,51.98,17387554,51.91
7/19/2018,51.6,52.01,51.05,51.72,15954636,51.98
7/18/2018,51.87,51.97,51.465,51.75,14649019,51.72
7/17/2018,51.05,51.8785,51.01,52.01,15754472,51.75
7/16/2018,52.15,52.32,51.87,52.22,15951549,52.01
7/13/2018,52.4,52.42,51.76,52.35,13750255,52.22
7/12/2018,52.05,52.48,51.73,51.2,20292712,52.35
7/11/2018,51.69,51.87,51.19,52.16,18665554,51.2
7/10/2018,52.1,52.26,51.84,51.86,17362901,52.16
7/9/2018,51.64,51.89,51,51.37,21361609,51.86
7/6/2018,50.77,51.5,50.4,50.75,19968048,51.37
7/5/2018,49.98,50.96,49.75,49.47,26163528,50.75
7/3/2018,50.58,50.86,49.43,50.2,16327904,49.47
7/2/2018,49.04,50.27,48.83,49.71,23755548,50.2
6/29/2018,49.53,50.11,49.5,49.25,28906523,49.71
6/28/2018,48.58,49.49,48.5,48.76,29055690,49.25
6/27/2018,49.34,50.06,48.75,49.67,33338795,48.76
6/26/2018,49.95,50.41,49.36,50.71,37543003,49.67
6/25/2018,51.17,51.75,49.91,52.5,45356466,50.71
6/22/2018,52.62,53.09,52.3,52.19,34682074,52.5
6/21/2018,54.38,54.53,51.94,53.46,44435555,52.19
6/20/2018,53.19,53.745,52.69,52.93,21403035,53.46
6/19/2018,52.14,52.95,51.88,53.22,31780850,52.93
6/18/2018,54.3,54.3,52.34,55.11,40764444,53.22
6/15/2018,55.17,55.38,54.58,55.54,39194688,55.11
6/14/2018,55.45,55.86,55.18,55.03,23419829,55.54
6/13/2018,54.98,55.7,54.91,54.82,22631436,55.03
6/12/2018,54.87,55.03,54.22,54.52,23294943,54.82
6/11/2018,54.8,55.09,54.26,55.05,25752361,54.52
6/8/2018,55.56,55.7,54.66,55.88,30822854,55.05
6/7/2018,56.92,57,55.62,57.03,27596110,55.88
6/6/2018,56.53,57.06,56.08,56.53,22955355,57.03
6/5/2018,56.9,57.12,56.215,56.83,21687019,56.53
6/4/2018,57.01,57.5995,56.775,57.08,22538053,56.83
6/1/2018,55.84,57.1,55.8,55.2,31183166,57.08
5/31/2018,55.67,55.86,55.06,55.68,30962105,55.2
5/30/2018,55.89,56.2,55.615,55.32,24711519,55.68
5/29/2018,55.12,55.81,54.81,55.44,24253509,55.32
5/25/2018,54.8,55.5,54.54,54.75,18549989,55.44
5/24/2018,55.18,55.3,54.13,55.21,19667095,54.75
5/23/2018,54,55.23,53.84,54.45,20555425,55.21
5/22/2018,54.73,55.05,54.05,54.32,19009588,54.45
5/21/2018,54.36,55.22,53.86,53.5,25367377,54.32
5/18/2018,54.53,54.54,53.47,54.81,23679944,53.5
5/17/2018,54.55,55.44,54.42,54.64,16872598,54.81
5/16/2018,54.17,54.7,53.955,53.92,16260459,54.64
5/15/2018,54.58,54.75,53.56,54.9,21712649,53.92
5/14/2018,54.77,55.2401,54.74,54.67,21878199,54.9
5/11/2018,54.62,55.19,54.43,54.98,15405004,54.67
5/10/2018,54.55,55,54.1,54.34,18715910,54.98
5/9/2018,53.76,54.37,53.19,53.63,19827532,54.34
5/8/2018,53.2948,53.63,52.8,53.33,21026793,53.63
5/7/2018,52.86,53.58,52.83,52.78,20285746,53.33
5/4/2018,51.62,52.84,51,52.28,25642474,52.78
5/3/2018,51.89,52.56,51.21,52.31,28560967,52.28
5/2/2018,53.09,53.2,52.15,53.33,25778328,52.31
5/1/2018,51.64,53.42,51.44,51.62,27600758,53.33
4/30/2018,52.56,53.37,51.21,52.73,36417370,51.62
4/27/2018,55.44,55.79,52.23,53.05,69888148,52.73
4/26/2018,52.26,53.27,52.07,51.38,39575029,53.05
4/25/2018,51.86,52.1,50.6,51.45,25752805,51.38
4/24/2018,51.87,53.64,51.14,51.1,42494668,51.45
4/23/2018,51.689,51.89,50.85,51.53,21706733,51.1
4/20/2018,52.17,52.28,50.88,52.22,26910093,51.53
4/19/2018,52.95,52.96,51.61,53.61,25422376,52.22
4/18/2018,53.52,54.355,53.34,53.54,22164679,53.61
4/17/2018,52.91,53.7,52.89,52.4,21228696,53.54
4/16/2018,52.29,52.53,51.79,51.86,18855458,52.4
4/13/2018,53.06,53.21,51.6,52.72,20884874,51.86
4/12/2018,51.49,53.2689,51.45,51.1,29781357,52.72
4/11/2018,50.99,51.73,50.82,51.27,17568432,51.1
4/10/2018,51.12,51.49,50.34,49.55,26417762,51.27
4/9/2018,49.16,51.11,49.16,48.79,31436989,49.55
4/6/2018,49.79,50.4,48.5,50.38,28215164,48.79
4/5/2018,50.01,50.7199,49.97,49.99,25115351,50.38
4/4/2018,48.1,50.16,48.01,49.75,30370046,49.99
4/3/2018,49,49.96,48.41,48.92,39432360,49.75
4/2/2018,51.69,52.04,47.29,52.08,67187824,48.92
3/29/2018,49.98,52.08,49.87,49.6,45265805,52.08
3/28/2018,50.5,50.7,49.01,51.19,37970859,49.6
3/27/2018,53.01,53.25,50.78,52.48,38777042,51.19
3/26/2018,50.74,52.49,50.32,49.36,39306227,52.48
3/23/2018,50.59,50.99,49.36,50.83,37683871,49.36
3/22/2018,50.74,51.96,50.6,51.56,30915970,50.83
3/21/2018,51.55,52.17,51.17,51.55,23239476,51.56
3/20/2018,50.88,51.81,50.85,50.83,22214951,51.55
3/19/2018,50.74,51.23,49.93,51.17,31115248,50.83
3/16/2018,51.17,51.7,50.99,50.88,42559810,51.17
3/15/2018,52.23,52.3,50.88,51.86,25631228,50.88
3/14/2018,52.06,52.175,51.31,51.78,24993502,51.86
3/13/2018,52.52,53.78,51.39,51.52,45573922,51.78
3/12/2018,51.86,51.95,50.5,52.19,32044382,51.52
3/9/2018,51.27,52.3,51,50.74,32727914,52.19
3/8/2018,51.79,52.08,50.47,51.32,29481157,50.74
3/7/2018,50.18,51.485,50.1,50.71,31801943,51.32
3/6/2018,50.16,51.33,50.15,49.75,39132300,50.71
3/5/2018,48.57,49.795,48.041,48.98,30826521,49.75
3/2/2018,47.2,49.05,46.96,47.84,33310592,48.98
3/1/2018,49.5,49.715,47.47,49.29,36326639,47.84
2/28/2018,50.18,50.34,49.28,49.91,35541183,49.29
2/27/2018,49.37,50.9,49.31,49.11,43624077,49.91
2/26/2018,48.2,49.13,48.1,47.73,26992306,49.11
2/23/2018,46.34,47.79,46.305,45.8,26040911,47.73
2/22/2018,46.14,46.56,45.62,45.94,16946353,45.8
2/21/2018,46.67,47.06,45.92,46.32,27527487,45.94
2/20/2018,45.46,46.71,45.39,45.56,25511962,46.32
2/16/2018,45.815,46.59,45.51,45.92,21475207,45.56
2/15/2018,45.88,45.99,44.95,45.38,23536793,45.92
2/14/2018,44.07,45.51,44.04,44.46,19922010,45.38
2/13/2018,44.59,44.775,44.255,44.83,19517609,44.46
2/12/2018,44.15,45.16,44.09,43.95,28379521,44.83
2/9/2018,43.5,44.28,42.04,42.75,49301141,43.95
2/8/2018,45.28,45.42,42.74,45.2,43151330,42.75
2/7/2018,44.58,46.3,44.34,44.91,37508414,45.2
2/6/2018,44.02,44.93,43.0302,44.52,58145381,44.91
