Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,PX_LAST
10/3/2018,86.51,86.89,85.975,86.46,10206722,86.15
10/2/2018,85.8,86.665,85.622,85.81,8453138,86.46
10/1/2018,85.35,86.03,85.255,85.02,8568210,85.81
9/28/2018,85.25,85.9299,84.99,85.77,9884941,85.02
9/27/2018,86.085,86.375,85.59,85.78,7895430,85.77
9/26/2018,86.02,86.5,85.69,86.5,10275498,85.78
9/25/2018,87.0312,87.36,86.37,86.6,12200690,86.5
9/24/2018,85.79,87.085,85.72,85.17,13549454,86.6
9/21/2018,85.01,85.43,84.52,84.82,26639437,85.17
9/20/2018,84.86,85.34,84.54,84.63,11198171,84.82
9/19/2018,83.64,84.77,83.64,83.63,10413591,84.63
9/18/2018,83.9,84.13,83.45,83.41,9219890,83.63
9/17/2018,83,83.61,82.99,82.92,8403325,83.41
9/14/2018,82.42,83.15,82.27,82.32,9442579,82.92
9/13/2018,83.15,83.25,82.01,83.13,11162714,82.32
9/12/2018,83.25,83.78,82.87,82.86,11556657,83.13
9/11/2018,81.96,83.19,81.63,81.71,11891917,82.86
9/10/2018,82.2359,82.74,81.655,81.83,10817918,81.71
9/7/2018,80.15,81.93,79.82,80.46,16417783,81.83
9/6/2018,81.11,81.64,80.34,81.36,13320645,80.46
9/5/2018,79.9,81.43,79.6,80.29,13878418,81.36
9/4/2018,80.41,80.69,79.81,80.17,8855027,80.29
8/31/2018,80.24,80.46,79.77,80.51,10700016,80.17
8/30/2018,80.45,80.78,80.12,80.86,7450853,80.51
8/29/2018,80.44,81.04,80.095,80.28,8004792,80.86
8/28/2018,80.58,80.82,80.2,80.4,8823352,80.28
8/27/2018,79.91,80.47,79.8592,79.62,6671872,80.4
8/24/2018,79.52,80.05,79.42,79.08,6545216,79.62
8/23/2018,79.56,79.63,78.895,79.96,7203899,79.08
8/22/2018,79.11,80.05,79.02,78.83,10098237,79.96
8/21/2018,79.05,79.58,78.67,78.81,9192229,78.83
8/20/2018,78.26,79,78.17,78.26,8152096,78.81
8/17/2018,78.34,78.49,77.8,78,10178657,78.26
8/16/2018,77.28,78.1,77.2,76.94,11519944,78
8/15/2018,77.78,77.9,76.51,78.31,16307784,76.94
8/14/2018,78.99,79.07,78.08,78.56,8005941,78.31
8/13/2018,79.45,79.75,78.43,79.42,10308844,78.56
8/10/2018,79.51,79.524,78.855,80.32,12954268,79.42
8/9/2018,80.73,80.905,80.11,80.73,9828499,80.32
8/8/2018,81.02,81.23,80.35,81.27,7275062,80.73
8/7/2018,80.91,81.59,80.31,80.18,10698498,81.27
8/6/2018,80.25,80.43,79.74,80.2,10041825,80.18
8/3/2018,79.97,80.3,79.63,79.91,7811180,80.2
8/2/2018,79.89,80.255,79.45,80.39,8364294,79.91
8/1/2018,80.89,80.93,80.225,81.51,8936719,80.39
7/31/2018,81.64,82.15,81.44,81.74,11716849,81.51
7/30/2018,82.13,82.13,80.711,81.92,11282875,81.74
7/27/2018,80.97,82.38,80.805,84.24,18223602,81.92
7/26/2018,83.83,84.4,83.37,83.59,13210099,84.24
7/25/2018,83.01,83.74,82.51,83.01,9730668,83.59
7/24/2018,81.52,83.02,81.48,81.4,11120967,83.01
7/23/2018,81.95,82,81.18,81.4,8425921,81.4
7/20/2018,81.72,81.9332,81.25,82.01,9209376,81.4
7/19/2018,82.2,82.62,81.72,82.22,8659127,82.01
7/18/2018,81.8,82.32,81.49,82.31,8711884,82.22
7/17/2018,82.26,82.75,82.04,82.49,7373347,82.31
7/16/2018,82.52,82.79,82,83.31,8307109,82.49
7/13/2018,82.68,83.75,82.56,82.69,8721525,83.31
7/12/2018,83.01,83.24,82.31,82.59,9762532,82.69
7/11/2018,83.03,83.53,82.025,83.66,10405268,82.59
7/10/2018,83.7,84.12,83.51,82.9,8806167,83.66
7/9/2018,82.81,83.125,82.555,82.33,7158596,82.9
7/6/2018,81.96,82.7,81.66,82.31,7637116,82.33
7/5/2018,82.59,82.77,82.05,82.24,9035873,82.31
7/3/2018,82.58,83.45,82.08,81.76,7197258,82.24
7/2/2018,81.89,82.13,81.32,82.73,9998318,81.76
6/29/2018,82.45,83.54,82.29,81.97,17323207,82.73
6/28/2018,81.73,82.07,81.03,81.71,9390654,81.97
6/27/2018,81.06,82.48,81.06,80.64,12725864,81.71
6/26/2018,80.15,81.0146,79.97,79.74,10382781,80.64
6/25/2018,80.78,81.24,79.3,81.38,10557249,79.74
6/22/2018,81.16,81.9401,80.92,79.69,16707364,81.38
6/21/2018,80.02,80.38,79.325,80.45,10990663,79.69
6/20/2018,80.85,81.13,80.27,80.7,8917708,80.45
6/19/2018,79.89,80.9601,79.71,80.82,8759708,80.7
6/18/2018,80.4,81.38,80.3,80.66,9192567,80.82
6/15/2018,81.72,81.82,80.51,81.89,23797456,80.66
6/14/2018,81.94,82.2999,81.5,81.51,11477252,81.89
6/13/2018,82.44,82.6,81.47,82.42,12049278,81.51
6/12/2018,83.11,83.75,82.32,83.1,12351787,82.42
6/11/2018,83.72,83.79,82.93,83.6,10831599,83.1
6/8/2018,83.11,83.66,82.5,82.88,14350376,83.6
6/7/2018,82.73,83.29,82.56,82.06,13502457,82.88
6/6/2018,81.48,82.09,80.87,80.68,11603278,82.06
6/5/2018,80.59,81.65,80.41,80.97,12059328,80.68
6/4/2018,82.05,82.53,80.805,81.83,10954709,80.97
6/1/2018,81.87,82.35,81.55,81.24,9906117,81.83
5/31/2018,80.81,81.55,80.69,81.5,15803095,81.24
5/30/2018,79.25,81.66,79.22,78.42,16627467,81.5
5/29/2018,78.15,78.73,77.53,78.71,14644813,78.42
5/25/2018,79.28,79.33,78.09,80.27,14561988,78.71
5/24/2018,81.35,81.36,79.95,82.15,13360454,80.27
5/23/2018,80.95,82.23,80.57,81.64,15140896,82.15
5/22/2018,82.44,82.65,81.35,82.28,10753428,81.64
5/21/2018,81.73,82.35,81.52,81.3,8822364,82.28
5/18/2018,81.55,81.8,81.26,81.88,10030931,81.3
5/17/2018,82.2,82.28,81.44,82.02,11224123,81.88
5/16/2018,81.76,82.045,81.17,81.79,9569958,82.02
5/15/2018,81.85,82.03,81.4,81.83,12595736,81.79
5/14/2018,81.7,82.3232,81.61,81.28,11852098,81.83
5/11/2018,81.18,81.97,80.91,81.72,14751042,81.28
5/10/2018,80.64,81.79,80.5,79.93,17710327,81.72
5/9/2018,78.98,80.24,78.95,78.09,17142097,79.93
5/8/2018,77.8,78.16,76.37,77.74,17430440,78.09
5/7/2018,77.74,79.08,77.4,76.9,15071534,77.74
5/4/2018,76.13,77.22,75.94,76.54,9887192,76.9
5/3/2018,76.39,76.605,75.4038,76.8,12243149,76.54
5/2/2018,76.45,77.23,76.3,76.95,13883683,76.8
5/1/2018,77.26,77.26,75.98,77.75,16231035,76.95
4/30/2018,77.91,78.56,77.74,77.79,15028835,77.75
4/27/2018,76.95,78.65,76.48,80.86,16346833,77.79
4/26/2018,79.6,80.9,79.53,79.5,14554442,80.86
4/25/2018,78.2,79.62,77.485,78.35,13867464,79.5
4/24/2018,79.8,79.93,77.97,79.57,14101979,78.35
4/23/2018,78.92,79.6,78.75,79,11729830,79.57
4/20/2018,79.32,79.4,78.335,79.42,12072220,79
4/19/2018,79.32,79.82,78.81,79.22,11291467,79.42
4/18/2018,79.04,79.76,78.94,78.33,12061415,79.22
4/17/2018,78.54,78.76,78.04,78.54,10478093,78.33
