Date,INTC US Equity Price,INTC US Equity Hist Vol (10),INTC US Equity Hist Vol (30),INTC US Equity Hist Vol (50),INTC US Equity Hist Vol (100),INTC US Equity Implied Vol
12/12/18,47.83,47.67841543,35.9694774,38.29789092,34.05199886,28.9753
12/11/18,47.38,48.36726172,38.96335609,39.08306344,34.0388738,31.4606
12/10/18,47.21,48.95491656,39.02708737,39.30160585,34.03089671,32.038
12/07/18,46.24,48.76265142,39.59850681,39.63377545,33.85935291,34.0775
12/06/18,48.37,41.56104429,38.81767032,38.18796821,33.08771271,29.922
12/04/18,47.75,41.45555799,41.75396972,38.10907492,33.01988753,28.7047
12/03/18,50.13,30.60717073,38.91665507,36.68968999,32.08558429,23.3302
11/30/18,49.31,31.7574886,39.14936707,36.5300606,31.96748341,26.4742
11/29/18,47.7,26.88742799,38.79367067,35.84939273,31.7078888,26.2998
11/28/18,48.86,25.25922373,38.57398311,35.74695451,31.61372348,25.232
11/27/18,48.07,24.62951351,38.33280906,35.56935784,31.50971375,26.1988
11/26/18,47.45,25.08448986,39.21289104,35.60666516,31.47438317,26.6124
11/23/18,46.54,28.04825564,38.95145655,35.34815967,31.37322212,29.7799
11/21/18,47.03,28.9375754,38.97374752,35.25615062,31.62286637,28.985
11/20/18,47.39,29.34193135,39.12452732,35.33611065,31.68520554,31.8365
11/19/18,48,33.63848635,40.73065261,35.18652989,31.66584729,30.9489
11/16/18,48.83,33.28529848,40.49645039,35.67547853,31.58369948,28.2329
11/15/18,48.11,33.73463939,40.27826267,35.54039571,31.53251616,30.7226
11/14/18,47.09,34.0686433,40.36650766,35.43702433,31.4717827,33.069
11/13/18,47.39,37.70649996,40.50112692,35.47733547,31.62798217,30.6799
11/12/18,46.65,37.92021668,40.42508933,35.29579865,31.98707605,31.6783
11/09/18,48.11,43.15673628,40.72089798,34.64537946,31.63656633,27.056
11/08/18,48.99,41.40854955,40.7119554,34.39662535,31.73679407,25.8406
11/07/18,48.72,43.13900941,41.61911536,34.46341329,31.76869036,25.9147
11/06/18,47.25,45.59212925,40.67450588,33.71627111,31.3558051,30.1358
11/05/18,47.97,54.4549384,40.40449528,33.56017387,31.74998845,30.1892
11/02/18,47.11,55.04258545,40.63692468,33.46145774,31.60505061,30.3756
11/01/18,48.22,52.84900498,40.00305417,33.17945647,31.45367174,29.2355
10/31/18,46.88,54.12788164,39.26958695,32.53781375,31.09284702,32.0588
10/30/18,47.76,54.36530158,39.41273841,32.37028038,30.98794014,33.6941
10/29/18,45.4,46.62513099,36.30459957,30.63967883,29.82187978,39.401
10/26/18,45.69,49.57535696,36.54315437,30.74263692,29.88816382,34.8147
10/25/18,44.31,46.7966649,35.30467808,29.84923926,29.54914076,40.0379
10/24/18,42.42,39.80468069,32.49602284,27.9370665,28.63159505,42.2163
10/23/18,44.5,30.89316727,29.62973018,25.95883962,27.6728081,36.9056
10/22/18,45.01,36.74442733,29.4304068,25.88674031,27.63612699,35.1226
10/19/18,44,33.13121301,29.89635535,25.2941691,27.94980745,35.7106
10/18/18,44.97,32.1068372,29.25004777,25.49182677,27.78699209,35.4354
10/17/18,45.89,32.58382953,29.08299001,25.16798711,27.66264653,33.405
10/16/18,45.94,32.71304681,29.19873649,25.21862164,27.66237315,32.6914
10/15/18,44.53,26.9829157,27.41650167,24.13033606,27.23260635,35.6943
10/12/18,44.88,35.72408916,27.45684397,24.11685551,27.23575245,34.9696
10/11/18,44.23,34.53298159,27.01832308,23.83003931,27.22417846,39.267
10/10/18,44.8,39.72562596,26.94975514,23.97583766,27.17698606,37.9979
10/09/18,46.55,33.37912308,24.66369719,22.6687931,26.65579484,33.1974
10/08/18,47.03,32.83411858,24.57160701,22.6520296,26.8732962,32.9593
10/05/18,47.03,35.35143078,24.99669917,22.65222201,26.88275286,32.3056
10/04/18,48.13,32.41559968,24.35302428,30.23358706,26.75329852,32.1424
10/03/18,48.76,32.17766028,23.98674031,30.12771482,26.82439081,30.2651
10/02/18,48.1,33.40447912,23.98627749,29.95580597,26.72947546,30.3033
10/01/18,46.45,27.92923667,22.69631001,28.69515667,26.07228418,29.6501
09/28/18,47.29,26.28120532,22.3720883,28.55178552,26.02540208,28.9685
09/27/18,45.88,21.25956653,20.32793816,27.53274588,25.61735016,29.3704
09/26/18,45.7,21.18473124,20.32653617,27.5476821,25.62836631,29.7884
09/25/18,45.91,22.14629,20.64998934,27.54691262,25.69599505,29.0978
09/24/18,46.91,17.00618814,19.78336221,27.18672488,25.5427615,27.1377
09/21/18,46.66,25.26122203,19.78918372,27.13328288,25.52118188,24.3704
09/20/18,47.2,24.3187233,20.91523146,27.04687125,25.63625804,22.9248
09/19/18,46.15,22.64755756,19.57535152,27.0329234,25.93456688,22.7353
09/18/18,46.1,22.81110883,19.6890427,27.28490765,26.13624168,23.1352
09/17/18,45.42,19.82187718,19.23030165,27.05055677,26.01138771,24.2982
09/14/18,45.54,19.79317325,19.2645228,27.19616023,26.57275423,22.5525
09/13/18,45.57,20.40303759,19.33697881,27.40114048,26.57260562,23.2804
09/12/18,44.93,16.24320966,19.29590049,27.89091741,26.48663345,24.9065
09/11/18,44.93,17.01749309,19.98385437,28.03875495,26.51052439,24.9965
09/10/18,46.3,12.42760991,18.28844186,27.39581873,26.16717311,23.793
09/07/18,46.45,16.18922457,18.27879021,27.50347489,26.47876303,24.0984
09/06/18,47.26,15.95873265,32.03522844,27.3564677,26.35483205,23.7083
09/05/18,47.72,14.79741318,31.98141431,27.58840915,26.57448414,23.2044
09/04/18,47.96,16.22664541,32.0654512,27.95269292,26.62874404,22.5323
08/31/18,48.43,18.93680421,31.99516916,28.94173712,26.71050324,20.6728
08/30/18,48.24,21.12031871,32.08630529,28.96615085,27.20157856,22.0476
08/29/18,48.75,19.80643391,31.99165269,29.35647624,27.15681345,20.693
08/28/18,48.57,20.49281071,32.01663684,29.45628349,27.72356279,20.4776
08/27/18,48.35,22.21992303,31.95368867,29.43061819,27.82934745,20.8074
08/24/18,47.66,20.80434581,31.53642285,30.12966224,28.20411786,20.667
08/23/18,46.98,18.50455589,31.07252388,29.87022883,28.13161401,21.1275
08/22/18,47.05,21.71183771,31.06752886,30.00929748,28.14502533,21.0138
08/21/18,47.62,22.16957103,31.89355399,29.97853152,28.22135606,21.0107
08/20/18,46.5,15.47214606,31.16440853,29.38687551,29.70048094,21.6738
08/17/18,47.1,17.08446418,31.17072541,29.34025414,30.71870006,20.4126
08/16/18,47.17,16.9574904,31.40319824,29.46204736,31.12745457,21.8384
08/15/18,47.46,17.57598864,31.70607943,29.71355525,31.35982408,22.9223
08/14/18,48.12,19.04601733,32.55905179,29.75540301,32.87218886,21.5994
08/13/18,48.45,20.56145329,32.77346128,29.74756589,33.19257905,21.6597
08/10/18,48.85,20.14102634,32.86050623,29.72600222,33.2442982,20.9281
