Date,XOM US Equity Price,XOM US Equity Hist Vol (10),XOM US Equity Hist Vol (30),XOM US Equity Hist Vol (50),XOM US Equity Hist Vol (100),XOM US Equity Implied Vol
12/12/18,76.02,21.95681955,23.48753357,22.77516776,19.77028015,23.2376
12/11/18,76.68,24.45629739,24.38249149,22.84867277,19.72759924,24.1632
12/10/18,76.54,24.43243404,24.44018226,22.98476773,19.75468812,24.5109
12/07/18,77.64,25.05268863,24.24897953,22.86241388,19.632009,23.3454
12/06/18,78.39,29.32266753,24.22041272,22.79640208,19.57646096,22.2342
12/04/18,79.43,28.11876864,25.38831113,22.69329791,19.46820575,21.5467
12/03/18,81.22,30.2053461,24.9625141,22.17310455,19.20001683,18.0868
11/30/18,79.5,28.06681469,24.22757834,21.93508751,18.91359644,20.0633
11/29/18,79.06,28.39369245,24.15493433,21.91295737,18.89045284,20.4204
11/28/18,78.45,28.61495811,24.05801781,21.82455718,18.94879948,20.2938
11/27/18,77.05,27.10590324,23.36211718,21.57159527,18.77063966,21.237
11/26/18,76.98,29.44394264,23.43031455,21.58643238,18.80965875,21.8936
11/23/18,75.49,25.95799866,22.52658952,21.08396639,18.5168694,24.562
11/21/18,77.56,23.31777591,21.21295624,20.33646985,18.01565103,22.1763
11/20/18,76.97,22.3369977,23.22886911,20.3218127,17.99636046,24.0817
11/19/18,79.22,21.10725959,22.71569609,19.31067271,17.49305698,21.2016
11/16/18,78.96,21.22204144,22.74694541,19.59164152,17.55302385,20.1384
11/15/18,78.19,19.60623841,22.71703672,19.43589968,17.4838228,21.9913
11/14/18,77.39,21.166341,22.34031547,19.69979519,17.53721722,22.7164
11/13/18,78,22.87698619,22.32116498,19.77756159,17.59498794,22.6651
11/12/18,79.83,20.01438912,21.46478367,19.32470304,17.50264173,20.8499
11/09/18,80.87,20.69163723,21.43810752,19.0904007,17.70939239,18.7172
11/08/18,81.71,19.77251479,21.536675,18.95972618,17.69669702,17.2358
11/07/18,83.03,17.77452528,21.18531328,18.60231411,17.50606921,16.7288
11/06/18,81.99,17.46754035,20.75819213,18.45349374,17.39159694,18.5121
11/05/18,81.64,25.45570982,20.77312063,18.43618901,17.38109794,19.469
11/02/18,81.95,27.27417814,20.76694889,18.53651361,17.54528369,19.885
11/01/18,80.67,26.27613169,20.84024295,18.25290508,17.37260197,22.6371
10/31/18,79.68,24.99471102,20.46103547,18.21997661,17.3422807,24.3125
10/30/18,78.78,23.94224729,20.08041243,18.32931675,17.28192531,25.7881
10/29/18,77.05,18.96410924,19.11769194,17.56978791,16.89729999,27.3902
10/26/18,77.53,19.78041691,19.15568032,17.59919652,16.94317414,26.8971
10/25/18,78.31,19.57462454,19.17012336,17.46377361,16.96002591,25.2708
10/24/18,77.62,17.97735174,19.09261833,17.62991164,17.12837997,26.4856
10/23/18,79.84,20.96684392,17.47670479,16.86074235,16.52190677,23.2392
10/22/18,81.15,22.33799584,16.90124257,16.42372642,16.39945309,20.6961
10/19/18,81.97,23.05786388,17.19777819,16.45427951,16.35991149,20.4265
10/18/18,81.85,24.16817245,17.19873126,16.67979265,16.36695356,21.2027
10/17/18,81.5,23.61115811,17.88947614,16.70087115,17.50346701,20.497
10/16/18,81.2,22.95883302,18.18724353,16.75376238,17.50741938,20.8989
10/15/18,80.82,22.05164128,18.57096811,17.0089283,17.78741748,22.0913
10/12/18,81.38,23.4979026,18.44129144,16.92803484,18.14760262,22.9396
10/11/18,81.6,24.86305354,18.47179065,16.93003293,18.1712608,27.1495
10/10/18,84.52,17.16338384,14.91553429,14.80946849,17.2865102,20.1084
10/09/18,86.51,11.12485693,12.86018636,14.1141948,16.95356309,17.3439
10/08/18,86.13,11.92056135,12.9035899,14.12386222,16.98815802,18.1899
10/05/18,85.34,10.38484979,12.93085568,14.01151647,16.93182231,17.4217
10/04/18,85.58,14.22355599,12.89216307,15.48269619,16.92804474,17.5799
10/03/18,86.15,13.62314053,13.25386885,15.48697244,16.88894444,16.5872
10/02/18,86.46,13.23805334,13.55539705,15.52244805,16.90524153,16.1399
10/01/18,85.81,13.97394337,13.51336968,16.04357119,16.89477325,16.0116
09/28/18,85.02,13.43271545,13.43240969,15.92943212,17.19869932,15.3839
09/27/18,85.77,11.77336048,12.93832018,15.88896467,17.51575904,14.5506
09/26/18,85.78,11.65216763,13.25828867,15.90748366,17.52425257,15.1054
09/25/18,86.5,12.18247347,14.29735149,15.76671765,17.52895312,15.317
09/24/18,86.6,11.75005823,14.37062288,15.77616348,17.53382717,14.7979
09/21/18,85.17,10.94129616,14.37126575,15.53204363,17.36673941,12.9101
09/20/18,84.82,11.42384439,14.9291281,15.59398016,17.36609802,13.4333
09/19/18,84.63,13.25993791,15.07339646,15.58961258,17.46139551,13.6355
09/18/18,83.63,15.32878781,14.92373038,15.65299566,17.36897282,14.2456
09/17/18,83.41,16.26468504,15.38288103,15.78322408,18.50380496,14.6585
09/14/18,82.92,16.2908246,15.32474211,15.80485601,18.67849205,13.6985
09/13/18,82.32,16.65228948,15.22839441,15.716116,18.78670933,14.5326
09/12/18,83.13,15.56997864,15.01871504,15.54716273,18.89105825,14.7369
09/11/18,82.86,15.72816764,15.6552826,15.58613712,18.91734822,15.4752
09/10/18,81.71,14.53675484,15.11789875,15.4890055,18.81018457,15.4162
09/07/18,81.83,14.96227278,15.1260289,15.63883407,18.81142034,15.9171
09/06/18,80.46,12.74897969,16.37073886,15.14659928,18.70245668,15.7214
09/05/18,81.36,12.73000379,16.32453801,15.24153077,18.61582071,15.1505
09/04/18,80.29,13.02486945,15.92184031,15.15484063,18.54997274,14.9556
08/31/18,80.17,13.0587673,17.08008787,15.86826733,18.59084371,14.1948
08/30/18,80.51,12.73611042,17.04175942,16.57764114,18.58248887,13.9028
08/29/18,80.86,11.9112414,17.1347187,16.69629333,18.57891308,13.2638
08/28/18,80.28,12.94220229,16.9766536,16.62766144,19.11455539,13.8348
08/27/18,80.4,17.55477785,16.97561014,16.62762616,19.11152944,13.6161
08/24/18,79.62,17.29592134,16.65950369,16.47381268,19.22708369,14.0716
08/23/18,79.08,18.12304203,16.66267982,16.73686541,19.34911202,14.4264
08/22/18,79.96,18.16168123,16.62948168,16.60123713,19.26025646,14.0235
08/21/18,78.83,15.89594763,15.953758,16.41706666,19.51564642,13.9576
08/20/18,78.81,15.92077979,16.29215771,16.50030842,19.77115162,13.9038
08/17/18,78.26,17.59801693,16.41374428,16.426875,20.12032512,13.8232
08/16/18,78,17.30281391,16.55534819,16.55416511,20.22336513,15.0808
08/15/18,76.94,14.79662958,15.85786272,16.39320502,20.12237926,17.5417
08/14/18,78.31,12.50382827,15.14962723,16.46360352,20.04330875,14.849
08/13/18,78.56,13.82043708,15.3076111,16.46726084,20.08726339,15.0422
08/10/18,79.42,13.19820654,15.3622257,16.45653376,20.29990484,14.604
08/09/18,80.32,12.26320085,15.36654639,16.35910652,20.3234368,13.9177
08/08/18,80.73,18.54909612,15.34661189,16.3344099,20.30632219,13.4321
08/07/18,81.27,19.64495748,15.74160459,18.5333561,20.39428532,13.3634
08/06/18,80.18,18.09931361,15.57760382,18.31331664,20.33679042,13.8779
08/03/18,80.2,22.08437176,16.7497773,18.88425762,20.40473556,13.9503
08/02/18,79.91,21.88825036,17.91335461,19.59826227,20.5149393,14.8743
08/01/18,80.39,21.98875007,18.05398256,19.6171246,20.55294067,14.9725
07/31/18,81.51,20.85840277,17.57118671,19.44043696,20.45916646,14.6508
07/30/18,81.74,20.82916168,17.55344725,19.63014646,20.46603352,15.1383
07/27/18,81.92,20.82882365,17.5408036,19.69389997,20.46480392,15.3074
